Local Government Directory,,,,,,,,,,,,,
All Villages of Gujarat(State code : 24) State,,,,,,,,,,,,,
,,,,,,,,,,,,,
S.No.,District Code,District Name,Sub-District Code,Sub-District Name,Village Code,Village Version,Village Name ,Village Name,Village Category,Village Status,Census 2001 Code,Census 2011 Code,
59,438,Ahmedabad,3782,Daskroi,511666,1,Aslali,,Rural,Inhabitant,00527400,511666,
60,438,Ahmedabad,3782,Daskroi,511662,1,Badodara,,Rural,Inhabitant,00527000,511662,
61,438,Ahmedabad,3782,Daskroi,511648,1,Bakrol Bujrang,,Rural,Inhabitant,00525600,511648,
62,438,Ahmedabad,3782,Daskroi,930197,1,Bareja,Bareja,Urban,Inhabitant,,000000,
63,438,Ahmedabad,3782,Daskroi,511673,1,Barejadi,,Rural,Inhabitant,00528600,511673,
64,438,Ahmedabad,3782,Daskroi,511639,1,Bharkunda,,Rural,Inhabitant,00524500,511639,
65,438,Ahmedabad,3782,Daskroi,511679,1,Bhat,,Rural,Inhabitant,00529200,511679,
66,438,Ahmedabad,3782,Daskroi,511647,1,Bhavda,,Rural,Inhabitant,00525500,511647,
67,438,Ahmedabad,3782,Daskroi,511660,1,Bhuval,,Rural,Inhabitant,00526800,511660,
68,438,Ahmedabad,3782,Daskroi,511642,1,Bhuvaldi,,Rural,Inhabitant,00524800,511642,
69,438,Ahmedabad,3782,Daskroi,511651,1,Bibipur,,Rural,Inhabitant,00525900,511651,
70,438,Ahmedabad,3782,Daskroi,511691,1,Bilasiya (Og),,Rural,Inhabitant,00523800,511691,
71,438,Ahmedabad,3782,Daskroi,511685,1,Bopal (Ct),,Urban,Inhabitant,40716000,511685,
72,438,Ahmedabad,3782,Daskroi,511644,1,Chandial,,Rural,Inhabitant,00525200,511644,
73,438,Ahmedabad,3782,Daskroi,511659,1,Chavlaj,,Rural,Inhabitant,00526700,511659,
74,438,Ahmedabad,3782,Daskroi,511674,1,Chosar,,Rural,Inhabitant,00528700,511674,
75,438,Ahmedabad,3782,Daskroi,511671,1,Devdi,,Rural,Inhabitant,00528400,511671,
76,438,Ahmedabad,3782,Daskroi,511654,1,Dhamatvan,,Rural,Inhabitant,00526200,511654,
77,438,Ahmedabad,3782,Daskroi,511690,1,Enasan (Og),,Rural,Inhabitant,00523700,511690,
78,438,Ahmedabad,3782,Daskroi,511670,1,Gamdi,,Rural,Inhabitant,00528300,511670,
79,438,Ahmedabad,3782,Daskroi,511649,1,Gatrad,,Rural,Inhabitant,00525700,511649,
80,438,Ahmedabad,3782,Daskroi,511652,1,Geratnagar,,Rural,Inhabitant,00526000,511652,
81,438,Ahmedabad,3782,Daskroi,511663,1,Geratpur,,Rural,Inhabitant,00527100,511663,
82,438,Ahmedabad,3782,Daskroi,511689,1,Ghuma (Og),,Urban,Inhabitant,,511689,
83,438,Ahmedabad,3782,Daskroi,511676,1,Giramtha,,Rural,Inhabitant,00528900,511676,
84,438,Ahmedabad,3782,Daskroi,511658,1,Govindada,,Rural,Inhabitant,00526600,511658,
85,438,Ahmedabad,3782,Daskroi,511655,1,Harnivav,,Rural,Inhabitant,00526300,511655,
86,438,Ahmedabad,3782,Daskroi,511661,1,Hirapur,,Rural,Inhabitant,00526900,511661,
87,438,Ahmedabad,3782,Daskroi,511635,1,Huka,,Rural,Inhabitant,00524100,511635,
88,438,Ahmedabad,3782,Daskroi,511672,1,Istolabad,,Rural,Inhabitant,00528500,511672,
89,438,Ahmedabad,3782,Daskroi,511675,1,Jetalpur,,Rural,Inhabitant,00528800,511675,
90,438,Ahmedabad,3782,Daskroi,511692,1,Kanbha (Og),,Rural,Inhabitant,00524900,511692,
91,438,Ahmedabad,3782,Daskroi,511645,1,Kaniyel,,Rural,Inhabitant,00525300,511645,
92,438,Ahmedabad,3782,Daskroi,511678,1,Kasindra,,Rural,Inhabitant,00529100,511678,
93,438,Ahmedabad,3782,Daskroi,511688,1,Kathwada (Og),,Urban,Inhabitant,,511688,
94,438,Ahmedabad,3782,Daskroi,511631,1,Khodiyar,,Rural,Inhabitant,00523000,511631,
95,438,Ahmedabad,3782,Daskroi,511641,1,Kubadthal,,Rural,Inhabitant,00524700,511641,
96,438,Ahmedabad,3782,Daskroi,511643,1,Kuha,,Rural,Inhabitant,00525100,511643,
97,438,Ahmedabad,3782,Daskroi,511693,1,Kujad (Og),,Rural,Inhabitant,00525000,511693,
98,438,Ahmedabad,3782,Daskroi,511638,1,Lalpur,,Rural,Inhabitant,00524400,511638,
99,438,Ahmedabad,3782,Daskroi,511629,1,Lapkaman,,Rural,Inhabitant,00522800,511629,
100,438,Ahmedabad,3782,Daskroi,511630,1,Lilapur,,Rural,Inhabitant,00522900,511630,
101,438,Ahmedabad,3782,Daskroi,511682,1,Mahijda,,Both,Inhabitant,00529500,511682,
102,438,Ahmedabad,3782,Daskroi,511650,1,Memadpur,,Rural,Inhabitant,00525800,511650,
103,438,Ahmedabad,3782,Daskroi,511677,1,Miroli,,Rural,Inhabitant,00529000,511677,
104,438,Ahmedabad,3782,Daskroi,511687,1,Nandej (Ct),,Rural,Inhabitant,40721000,511687,
105,438,Ahmedabad,3782,Daskroi,511680,1,Navapura,,Rural,Inhabitant,00529300,511680,
106,438,Ahmedabad,3782,Daskroi,511636,1,Navarangpura,,Rural,Inhabitant,00524200,511636,
107,438,Ahmedabad,3782,Daskroi,511684,1,Naz,,Rural,Inhabitant,00529700,511684,
108,438,Ahmedabad,3782,Daskroi,511669,1,Ode,,Rural,Inhabitant,00528200,511669,
109,438,Ahmedabad,3782,Daskroi,511668,1,Paldi Kankaj,,Rural,Inhabitant,00528100,511668,
110,438,Ahmedabad,3782,Daskroi,511633,1,Pardhol,,Rural,Inhabitant,00523900,511633,
111,438,Ahmedabad,3782,Daskroi,511640,1,Pasunj,,Rural,Inhabitant,00524600,511640,
112,438,Ahmedabad,3782,Daskroi,511657,1,Ranodara,,Rural,Inhabitant,00526500,511657,
113,438,Ahmedabad,3782,Daskroi,511664,1,Ropda,,Rural,Inhabitant,00527200,511664,
114,438,Ahmedabad,3782,Daskroi,511686,1,Singarva (Ct),,Rural,Inhabitant,40717000,511686,
115,438,Ahmedabad,3782,Daskroi,511681,1,Timba,,Rural,Inhabitant,00529400,511681,
116,438,Ahmedabad,3782,Daskroi,511656,1,Undrel,,Rural,Inhabitant,00526400,511656,
117,438,Ahmedabad,3782,Daskroi,511646,1,Vadod,,Rural,Inhabitant,00525400,511646,
118,438,Ahmedabad,3782,Daskroi,511634,1,Vahelal,,Rural,Inhabitant,00524000,511634,
119,438,Ahmedabad,3782,Daskroi,511653,1,Vanch,,Rural,Inhabitant,00526100,511653,
120,438,Ahmedabad,3782,Daskroi,511683,1,Vasai,,Rural,Inhabitant,00529600,511683,
121,438,Ahmedabad,3782,Daskroi,511667,1,Visalpur,,Rural,Inhabitant,00527900,511667,
122,438,Ahmedabad,3782,Daskroi,511637,1,Zanu,,Rural,Inhabitant,00524300,511637,
123,438,Ahmedabad,3778,Detroj-Rampura,511459,1,Abasna,,Rural,Inhabitant,00505600,511459,
124,438,Ahmedabad,3778,Detroj-Rampura,511445,1,Amarpura,,Rural,Inhabitant,00504200,511445,
125,438,Ahmedabad,3778,Detroj-Rampura,511491,2,Ashoknagar,,Rural,Inhabitant,00508800,511491,
126,438,Ahmedabad,3778,Detroj-Rampura,511462,1,Bamroli,,Rural,Inhabitant,00505900,511462,
127,438,Ahmedabad,3778,Detroj-Rampura,511443,1,Bantai,,Rural,Inhabitant,00504000,511443,
128,438,Ahmedabad,3778,Detroj-Rampura,511482,1,Bhagapura,,Rural,Inhabitant,00507900,511482,
129,438,Ahmedabad,3778,Detroj-Rampura,511489,1,Bhankoda,,Rural,Inhabitant,00508600,511489,
130,438,Ahmedabad,3778,Detroj-Rampura,511464,1,Bhonyni,,Rural,Inhabitant,00506100,511464,
131,438,Ahmedabad,3778,Detroj-Rampura,511474,1,Bhonynipura,,Rural,Inhabitant,00507100,511474,
132,438,Ahmedabad,3778,Detroj-Rampura,511492,1,Boska,,Rural,Inhabitant,00508900,511492,
133,438,Ahmedabad,3778,Detroj-Rampura,511484,1,Chhaniyar,,Rural,Inhabitant,00508100,511484,
134,438,Ahmedabad,3778,Detroj-Rampura,511441,1,Dabhsar,,Rural,Inhabitant,00503800,511441,
135,438,Ahmedabad,3778,Detroj-Rampura,511475,1,Damodaripura,,Rural,Inhabitant,00507200,511475,
136,438,Ahmedabad,3778,Detroj-Rampura,511461,1,Dangarva,,Rural,Inhabitant,00505800,511461,
137,438,Ahmedabad,3778,Detroj-Rampura,511469,1,Dekavada,,Rural,Inhabitant,00506600,511469,
138,438,Ahmedabad,3778,Detroj-Rampura,511478,1,Detroj,,Rural,Inhabitant,00507500,511478,
